what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1335324772745
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1335324774710
error,log,,,"Core exception while retrieving the content description",1335324776299
error,log,,,"Core exception while retrieving the content description",1335324776301
error,log,,,"Core exception while retrieving the content description",1335324776302
error,log,,,"Core exception while retrieving the content description",1335324776305
error,log,,,"Core exception while retrieving the content description",1335324776306
error,log,,,"Core exception while retrieving the content description",1335324776308
error,log,,,"Core exception while retrieving the content description",1335324776346
error,log,,,"Core exception while retrieving the content description",1335324776347
error,log,,,"Core exception while retrieving the content description",1335324776351
error,log,,,"Core exception while retrieving the content description",1335324776354
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1335324779529
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1335324779612
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335324787744
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335324830315
no handler,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1335324831650
no handler,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1335324845110
no handler,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1335324852740
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335324864744
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335324867884
no handler,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1335324869149
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1335324877894
error,log,,,"Core exception while retrieving the content description",1335324878011
error,log,,,"Core exception while retrieving the content description",1335324878018
error,log,,,"Core exception while retrieving the content description",1335324878026
error,log,,,"Core exception while retrieving the content description",1335324878028
error,log,,,"Core exception while retrieving the content description",1335324878043
error,log,,,"Core exception while retrieving the content description",1335324878046
error,log,,,"Core exception while retrieving the content description",1335324878048
error,log,,,"Core exception while retrieving the content description",1335324878049
error,log,,,"Core exception while retrieving the content description",1335324878053
error,log,,,"Core exception while retrieving the content description",1335324878057
